DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
BE,8,8.29,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,A,Fallo,8,Slides,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,C,Acierto,A,Acierto,B,Fallo
BE,7,5.14,A,Fallo,C,Fallo,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,D,Acierto,10,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
SRE,9,7.71,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Acierto,C,Acierto,A,Acierto,D,Acierto,9,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,C,Acierto,A,Acierto,D,Acierto
BE,6,6.86,C,Acierto,C,Fallo,A,Acierto,D,Acierto,C,Fallo,D,Acierto,B,Acierto,D,Fallo,A,Acierto,B,Fallo,6,VR,C,Acierto,C,Fallo,A,Acierto,B,Fallo,C,Fallo,D,Acierto,C,Acierto,C,Acierto,B,Fallo,D,Acierto
BE,6,5.14,A,Fallo,C,Fallo,B,Fallo,D,Acierto,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,6,VR,C,Acierto,B,Acierto,A,Acierto,C,Fallo,B,Fallo,C,Fallo,B,Acierto,D,Fallo,A,Acierto,D,Acierto
SRE,4,3.43,C,Acierto,C,Fallo,C,Fallo,B,Fallo,C,Fallo,D,Acierto,B,Acierto,C,Acierto,D,Fallo,C,Fallo,4,VR,B,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,D,Acierto,C,Acierto,D,Fallo,A,Acierto,B,Fallo
SRE,5,7.43,C,Acierto,A,Fallo,A,Acierto,C,Fallo,A,Acierto,C,Fallo,B,Acierto,C,Acierto,B,Fallo,B,Fallo,6,VR,C,Acierto,A,Fallo,A,Acierto,D,Acierto,B,Fallo,D,Acierto,A,Acierto,D,Fallo,A,Acierto,B,Fallo
SRE,10,8.29,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,8,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,D,Acierto,B,Fallo,C,Acierto,A,Acierto,D,Acierto
BE,5,5.14,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,C,Acierto,B,Fallo,B,Fallo,5,Slides,C,Acierto,B,Acierto,D,Fallo,C,Fallo,B,Fallo,D,Acierto,B,Acierto,A,Fallo,A,Acierto,C,Fallo
SRE,5,5.71,A,Fallo,D,Fallo,C,Fallo,C,Fallo,A,Acierto,D,Acierto,B,Acierto,C,Acierto,B,Fallo,D,Acierto,6,VR,A,Fallo,B,Acierto,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,B,Fallo,D,Acierto
SRE,5,5.43,C,Acierto,A,Fallo,D,Fallo,C,Fallo,A,Acierto,D,Acierto,C,Fallo,A,Fallo,A,Acierto,D,Acierto,6,VR,C,Acierto,B,Acierto,A,Acierto,C,Fallo,A,Acierto,C,Fallo,B,Fallo,C,Acierto,B,Fallo,D,Acierto
BE,5,4,C,Acierto,B,Acierto,C,Fallo,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,D,Fallo,D,Acierto,5,Slides,B,Fallo,B,Acierto,C,Fallo,C,Fallo,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,B,Fallo
SRE,5,5.43,A,Fallo,C,Fallo,A,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Acierto,C,Acierto,B,Fallo,B,Fallo,7,VR,C,Acierto,B,Acierto,B,Fallo,D,Acierto,A,Acierto,C,Fallo,B,Acierto,C,Acierto,A,Acierto,B,Fallo
BE,5,5.14,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,C,Acierto,B,Fallo,B,Fallo,5,VR,A,Fallo,C,Fallo,A,Acierto,D,Acierto,B,Fallo,D,Acierto,C,Acierto,C,Acierto,B,Fallo,B,Fallo
BE,5,7.43,B,Fallo,C,Fallo,A,Acierto,C,Fallo,D,Fallo,D,Acierto,B,Acierto,D,Fallo,A,Acierto,D,Acierto,8,Slides,B,Fallo,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,C,Acierto,A,Acierto,D,Acierto
BE,6,7.43,A,Fallo,A,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,D,Acierto,8,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,C,Fallo
SRE,5,5.71,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,D,Fallo,D,Acierto,6,VR,C,Acierto,C,Fallo,C,Fallo,C,Fallo,A,Acierto,D,Acierto,C,Acierto,B,Fallo,A,Acierto,D,Acierto
SRE,9,8.29,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Acierto,C,Acierto,A,Acierto,D,Acierto,9,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,C,Acierto,A,Acierto,D,Acierto
SRE,5,5.14,C,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Fallo,C,Fallo,B,Acierto,C,Acierto,D,Fallo,B,Fallo,4,VR,C,Acierto,C,Fallo,D,Fallo,D,Acierto,D,Fallo,C,Fallo,C,Acierto,C,Acierto,B,Fallo,B,Fallo
BE,7,7.71,B,Fallo,B,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,B,Fallo,7,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,D,Acierto,B,Fallo,C,Acierto,A,Acierto,B,Fallo
SRE,6,6,C,Acierto,B,Acierto,D,Fallo,D,Acierto,B,Fallo,C,Fallo,B,Acierto,C,Acierto,B,Fallo,D,Acierto,6,VR,A,Fallo,B,Acierto,C,Fallo,D,Acierto,A,Acierto,D,Acierto,B,Fallo,C,Acierto,D,Fallo,D,Acierto
BE,5,6,A,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,C,Fallo,5,VR,C,Acierto,C,Fallo,A,Acierto,C,Fallo,C,Fallo,A,Fallo,C,Acierto,C,Acierto,A,Acierto,C,Fallo
SRE,8,9.14,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Acierto,B,Fallo,A,Acierto,D,Acierto,10,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
SRE,7,7.71,C,Acierto,B,Acierto,D,Fallo,D,Acierto,A,Acierto,C,Fallo,B,Acierto,D,Fallo,A,Acierto,D,Acierto,7,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,D,Acierto,B,Fallo,C,Acierto,A,Acierto,B,Fallo
BE,6,6.57,C,Acierto,A,Fallo,A,Acierto,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,A,Acierto,D,Acierto,4,Slides,C,Acierto,B,Acierto,B,Fallo,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,B,Fallo,B,Fallo
