DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
TE,1,6.86,B,Fallo,C,Fallo,B,Fallo,B,Fallo,C,Fallo,D,Acierto,A,Fallo,A,Fallo,B,Fallo,,Fallo,2,Slides,B,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,C,Fallo,A,Fallo,C,Acierto,C,Fallo,B,Fallo
TE,6,10,A,Fallo,C,Fallo,A,Acierto,C,Fallo,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,9,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
TE,5,6,,Fallo,A,Fallo,,Fallo,,Fallo,,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto,6,VR,C,Acierto,,Fallo,,Fallo,,Fallo,,Fallo,D,Acierto,B,Acierto,C,Acierto,A,Acierto,D,Acierto
TE,3,4.29,B,Fallo,A,Fallo,A,Acierto,C,Fallo,D,Fallo,C,Fallo,B,Acierto,D,Fallo,D,Fallo,D,Acierto,3,VR,C,Acierto,A,Fallo,B,Fallo,C,Fallo,C,Fallo,D,Acierto,D,Fallo,C,Acierto,C,Fallo,B,Fallo
TE,4,7.71,A,Fallo,A,Fallo,C,Fallo,C,Fallo,A,Acierto,D,Acierto,B,Acierto,D,Fallo,A,Acierto,B,Fallo,3,Slides,A,Fallo,C,Fallo,A,Acierto,C,Fallo,C,Fallo,B,Fallo,B,Acierto,D,Fallo,A,Acierto,B,Fallo
AMSE,3,8,A,Fallo,C,Fallo,A,Acierto,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,B,Fallo,C,Fallo,3,Slides,B,Fallo,B,Acierto,C,Fallo,B,Fallo,C,Fallo,D,Acierto,B,Acierto,D,Fallo,B,Fallo,C,Fallo
TE,6,8,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Acierto,D,Acierto,B,Acierto,C,Acierto,A,Acierto,A,Fallo,7,VR,C,Acierto,B,Acierto,A,Acierto,D,Acierto,C,Fallo,D,Acierto,A,Fallo,C,Acierto,A,Acierto,A,Fallo
TE,4,4.29,C,Acierto,,Fallo,,Fallo,C,Fallo,C,Fallo,D,Acierto,C,Fallo,D,Fallo,A,Acierto,D,Acierto,1,Slides,A,Fallo,A,Fallo,B,Fallo,C,Fallo,C,Fallo,C,Fallo,,Fallo,D,Fallo,,Fallo,D,Acierto
TE,4,6.29,B,Fallo,D,Fallo,A,Acierto,D,Acierto,B,Fallo,D,Acierto,C,Fallo,D,Fallo,D,Fallo,D,Acierto,4,Slides,C,Acierto,B,Acierto,B,Fallo,C,Fallo,B,Fallo,D,Acierto,C,Fallo,C,Acierto,D,Fallo,C,Fallo
TE,4,6,A,Fallo,C,Fallo,A,Acierto,,Fallo,,Fallo,D,Acierto,,Fallo,C,Acierto,B,Fallo,D,Acierto,5,Slides,C,Acierto,B,Acierto,B,Fallo,B,Fallo,C,Fallo,D,Acierto,A,Fallo,C,Acierto,B,Fallo,D,Acierto
