DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,PA7,R_PA7,PA8,R_PA8,PA9,R_PA9,PA10,R_PA10,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6,PB7,R_PB7,PB8,R_PB8,PB9,R_PB9,PB10,R_PB10
TE,2,4,A,Fallo,D,Fallo,B,Fallo,B,Fallo,A,Fallo,C,Acierto,B,Acierto,C,Fallo,C,Fallo,B,Fallo,5,Slides,C,Acierto,D,Fallo,B,Acierto,B,Fallo,,Fallo,A,Fallo,B,Acierto,A,Fallo,D,Acierto,A,Acierto
TE,7,6,C,Acierto,D,Fallo,B,Fallo,A,Acierto,D,Acierto,C,Acierto,B,Acierto,B,Fallo,D,Acierto,D,Acierto,9,VR,C,Acierto,D,Fallo,B,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Acierto
TE,7,4,C,Acierto,A,Fallo,C,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Acierto,,Fallo,D,Acierto,,Fallo,4,VR,C,Acierto,B,Acierto,B,Acierto,B,Fallo,A,Fallo,,Fallo,,Fallo,,Fallo,D,Acierto,C,Fallo
TE,4,4,B,Fallo,D,Fallo,C,Acierto,A,Acierto,A,Fallo,A,Fallo,B,Acierto,B,Fallo,D,Acierto,B,Fallo,4,VR,B,Fallo,C,Fallo,C,Fallo,B,Fallo,A,Fallo,C,Acierto,B,Acierto,B,Fallo,D,Acierto,A,Acierto
TE,3,4.67,A,Fallo,D,Fallo,B,Fallo,A,Acierto,C,Fallo,C,Acierto,B,Acierto,B,Fallo,C,Fallo,B,Fallo,5,VR,C,Acierto,D,Fallo,D,Fallo,B,Fallo,D,Acierto,C,Acierto,B,Acierto,B,Fallo,D,Acierto,C,Fallo
TE,5,5.33,A,Fallo,C,Fallo,D,Fallo,B,Fallo,D,Acierto,A,Fallo,B,Acierto,D,Acierto,D,Acierto,D,Acierto,9,VR,C,Acierto,B,Acierto,B,Acierto,B,Fallo,D,Acierto,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Acierto
TE,4,4,B,Fallo,D,Fallo,C,Acierto,A,Acierto,,Fallo,C,Acierto,D,Fallo,B,Fallo,D,Acierto,B,Fallo,2,VR,,Fallo,,Fallo,,Fallo,B,Fallo,,Fallo,C,Acierto,,Fallo,,Fallo,D,Acierto,,Fallo
TE,1,2.67,B,Fallo,A,Fallo,D,Fallo,A,Acierto,A,Fallo,A,Fallo,D,Fallo,B,Fallo,C,Fallo,C,Fallo,4,Slides,A,Fallo,C,Fallo,,Fallo,B,Fallo,D,Acierto,C,Acierto,B,Acierto,A,Fallo,D,Acierto,,Fallo
TE,4,4,C,Acierto,C,Fallo,B,Fallo,A,Acierto,A,Fallo,D,Fallo,B,Acierto,C,Fallo,D,Acierto,B,Fallo,2,Slides,A,Fallo,D,Fallo,D,Fallo,B,Fallo,B,Fallo,D,Fallo,B,Acierto,B,Fallo,D,Acierto,C,Fallo
TE,7,3.33,C,Acierto,C,Fallo,C,Acierto,A,Acierto,A,Fallo,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Fallo,7,Slides,C,Acierto,C,Fallo,B,Acierto,B,Fallo,A,Fallo,C,Acierto,B,Acierto,D,Acierto,D,Acierto,A,Acierto
