DEGREE,SCORE_PA,PERCEPTION,PA1,R_PA1,PA2,R_PA2,PA3,R_PA3,PA4,R_PA4,PA5,R_PA5,PA6,R_PA6,SCORE_PB,VISUALIZATION,PB1,R_PB1,PB2,R_PB2,PB3,R_PB3,PB4,R_PB4,PB5,R_PB5,PB6,R_PB6
TE,0,4,A,Fallo,A,Fallo,D,Fallo,D,Fallo,B,Fallo,D,Fallo,3.33,Slides,A,Fallo,D,Acierto,A,Acierto,B,Fallo,D,Fallo,B,Fallo
TE,3.33,6,D,Acierto,A,Fallo,D,Fallo,A,Acierto,C,Fallo,A,Fallo,5,VR,D,Acierto,D,Acierto,B,Fallo,A,Acierto,C,Fallo,B,Fallo
TE,3.33,4,D,Acierto,A,Fallo,C,Fallo,C,Fallo,D,Acierto,C,Fallo,1.67,VR,A,Fallo,A,Fallo,B,Fallo,A,Acierto,C,Fallo,A,Fallo
TE,3.33,5.6,B,Fallo,C,Acierto,B,Fallo,A,Acierto,A,Fallo,A,Fallo,1.67,VR,A,Fallo,B,Fallo,B,Fallo,B,Fallo,,Fallo,D,Acierto
TE,1.67,6.8,B,Fallo,C,Acierto,B,Fallo,C,Fallo,A,Fallo,A,Fallo,5,VR,C,Fallo,D,Acierto,A,Acierto,B,Fallo,B,Acierto,A,Fallo
TE,5,7.6,A,Fallo,C,Acierto,C,Fallo,D,Fallo,D,Acierto,B,Acierto,3.33,VR,D,Acierto,A,Fallo,A,Acierto,B,Fallo,A,Fallo,C,Fallo
TE,3.33,5.6,A,Fallo,C,Acierto,B,Fallo,A,Acierto,A,Fallo,C,Fallo,6.67,Slides,D,Acierto,B,Fallo,A,Acierto,A,Acierto,A,Fallo,D,Acierto
TE,3.33,7.6,D,Acierto,C,Acierto,B,Fallo,C,Fallo,C,Fallo,C,Fallo,6.67,Slides,D,Acierto,C,Fallo,A,Acierto,A,Acierto,D,Fallo,D,Acierto
TE,10,7.2,D,Acierto,C,Acierto,A,Acierto,A,Acierto,D,Acierto,B,Acierto,5,VR,B,Fallo,C,Fallo,A,Acierto,B,Fallo,B,Acierto,D,Acierto
TE,6.67,8,D,Acierto,C,Acierto,B,Fallo,A,Acierto,A,Fallo,B,Acierto,8.33,VR,D,Acierto,D,Acierto,A,Acierto,A,Acierto,B,Acierto,B,Fallo
TE,1.67,4,B,Fallo,C,Acierto,B,Fallo,C,Fallo,A,Fallo,A,Fallo,1.67,VR,,Fallo,D,Acierto,,Fallo,,Fallo,,Fallo,,Fallo
TE,3.33,2,D,Acierto,A,Fallo,C,Fallo,A,Acierto,C,Fallo,A,Fallo,3.33,Slides,A,Fallo,D,Acierto,A,Acierto,B,Fallo,A,Fallo,C,Fallo
TE,5,5.2,D,Acierto,C,Acierto,C,Fallo,A,Acierto,A,Fallo,A,Fallo,3.33,VR,B,Fallo,A,Fallo,B,Fallo,A,Acierto,A,Fallo,D,Acierto
TE,3.33,6.8,D,Acierto,A,Fallo,B,Fallo,C,Fallo,D,Acierto,C,Fallo,1.67,Slides,D,Acierto,A,Fallo,B,Fallo,B,Fallo,D,Fallo,A,Fallo
TE,3.33,2,A,Fallo,C,Acierto,D,Fallo,B,Fallo,C,Fallo,B,Acierto,1.67,Slides,C,Fallo,B,Fallo,D,Fallo,A,Acierto,A,Fallo,B,Fallo
TE,5,4,D,Acierto,C,Acierto,C,Fallo,A,Acierto,C,Fallo,A,Fallo,5,Slides,B,Fallo,B,Fallo,A,Acierto,B,Fallo,B,Acierto,D,Acierto
TE,1.67,4.4,D,Acierto,B,Fallo,D,Fallo,B,Fallo,B,Fallo,A,Fallo,5,Slides,D,Acierto,D,Acierto,C,Fallo,D,Fallo,B,Acierto,C,Fallo
TE,0,2,B,Fallo,B,Fallo,C,Fallo,C,Fallo,B,Fallo,A,Fallo,0,VR,A,Fallo,A,Fallo,C,Fallo,B,Fallo,D,Fallo,A,Fallo
TE,5,2,D,Acierto,C,Acierto,C,Fallo,D,Fallo,D,Acierto,A,Fallo,3.33,VR,B,Fallo,D,Acierto,A,Acierto,B,Fallo,D,Fallo,B,Fallo
TE,6.67,5.2,D,Acierto,C,Acierto,B,Fallo,A,Acierto,D,Acierto,A,Fallo,5,VR,D,Acierto,A,Fallo,B,Fallo,A,Acierto,B,Acierto,C,Fallo
TE,0,4,A,Fallo,B,Fallo,C,Fallo,C,Fallo,B,Fallo,A,Fallo,3.33,Slides,B,Fallo,D,Acierto,B,Fallo,B,Fallo,B,Acierto,B,Fallo
TE,10,8.4,D,Acierto,C,Acierto,A,Acierto,A,Acierto,D,Acierto,B,Acierto,10,VR,D,Acierto,D,Acierto,A,Acierto,A,Acierto,B,Acierto,D,Acierto
TE,3.33,6,C,Fallo,C,Acierto,D,Fallo,,Fallo,D,Acierto,C,Fallo,1.67,VR,B,Fallo,D,Acierto,,Fallo,C,Fallo,C,Fallo,A,Fallo
TE,3.33,5.6,D,Acierto,C,Acierto,B,Fallo,B,Fallo,C,Fallo,A,Fallo,3.33,VR,D,Acierto,B,Fallo,B,Fallo,B,Fallo,B,Acierto,B,Fallo
TE,1.67,2.8,A,Fallo,A,Fallo,C,Fallo,B,Fallo,C,Fallo,B,Acierto,1.67,Slides,B,Fallo,B,Fallo,D,Fallo,A,Acierto,A,Fallo,B,Fallo
TE,6.67,5.2,D,Acierto,C,Acierto,B,Fallo,A,Acierto,A,Fallo,B,Acierto,8.33,VR,D,Acierto,D,Acierto,A,Acierto,A,Acierto,A,Fallo,D,Acierto
TE,0,2.8,A,Fallo,B,Fallo,C,Fallo,C,Fallo,C,Fallo,C,Fallo,1.67,Slides,A,Fallo,B,Fallo,B,Fallo,B,Fallo,A,Fallo,D,Acierto
TE,3.33,6.8,D,Acierto,C,Acierto,B,Fallo,B,Fallo,C,Fallo,A,Fallo,1.67,VR,D,Acierto,A,Fallo,B,Fallo,B,Fallo,C,Fallo,C,Fallo
TE,1.67,3.2,A,Fallo,A,Fallo,C,Fallo,,Fallo,C,Fallo,B,Acierto,0,VR,A,Fallo,A,Fallo,C,Fallo,,Fallo,C,Fallo,C,Fallo
TE,5,5.2,D,Acierto,C,Acierto,B,Fallo,B,Fallo,D,Acierto,,Fallo,5,Slides,D,Acierto,B,Fallo,A,Acierto,B,Fallo,B,Acierto,C,Fallo
TE,5,3.6,D,Acierto,C,Acierto,C,Fallo,A,Acierto,A,Fallo,A,Fallo,1.67,VR,A,Fallo,A,Fallo,B,Fallo,C,Fallo,A,Fallo,D,Acierto
TE,3.33,4.8,A,Fallo,C,Acierto,D,Fallo,A,Acierto,C,Fallo,C,Fallo,0,VR,A,Fallo,A,Fallo,B,Fallo,C,Fallo,C,Fallo,A,Fallo
TE,1.67,8,D,Acierto,A,Fallo,B,Fallo,B,Fallo,C,Fallo,A,Fallo,3.33,Slides,B,Fallo,D,Acierto,A,Acierto,D,Fallo,C,Fallo,C,Fallo
TE,3.33,3.6,A,Fallo,C,Acierto,D,Fallo,B,Fallo,C,Fallo,B,Acierto,1.67,Slides,C,Fallo,C,Fallo,A,Acierto,D,Fallo,D,Fallo,A,Fallo
TE,1.67,4.8,B,Fallo,A,Fallo,B,Fallo,A,Acierto,C,Fallo,C,Fallo,5,VR,D,Acierto,A,Fallo,B,Fallo,B,Fallo,B,Acierto,D,Acierto
TE,1.67,6,A,Fallo,C,Acierto,C,Fallo,D,Fallo,C,Fallo,C,Fallo,5,Slides,D,Acierto,B,Fallo,A,Acierto,A,Acierto,A,Fallo,C,Fallo
