Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,VALORA4,VALORA5,VALORA6,VALORA7,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,R_P6,P7,R_P7,P8,R_P8,P9,R_P9,P10,R_P10,P11,R_P11,P12,R_P12,P13,R_P13,P14,R_P14,P15,APRENDIZAJE1,APRENDIZAJE2
2022/10/25 12:33:42 p. m. EET,BIO,9,6.92,5.14,3,3,2,2,3,2,3,GafasVR,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,C,Acierto,B,Fallo,B,,A,Fallo,C,Fallo,B,Acierto,D,Fallo,D,Acierto,B,Acierto,"r1 envía dicho datagrama a r3, r3 lo envía a pc4, pc4 responde a dicho datagrama y envía la respuesta a r2 que se la envía a r1 y r1 ahí ya lo reenvía",Me ha ayudado ya que la animación lo hace de una forma más dinámica y gráfica aunque la velocidad de animación era rápida por lo que necesitaba pausarlo,
2022/10/25 12:36:41 p. m. EET,BIO,9,6.92,7.14,3,3,3,4,4,4,4,Animacion3D,C,Acierto,C,Fallo,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,D,,C,Acierto,B,Fallo,B,Acierto,A,Fallo,D,Acierto,B,Acierto,"r1 recibe por eth0 la trama Ethernet que contiene un datagrama IP prodedente de pc1 hacia pc4. Este observa su tabla de encaminamiento y ve que para dirigirse a 102.0.0.0/24 (dirección de pc4) debe seguir el camino 101.0.0.3 por eth1, es decir enviar el datagrama hacia r3 a través del hub.","Sí creo que me ha ayudado a entender mejor el funcionamiento de los protocolos, sobre todo porque he podido ir parando la animación para ver cómo se iban modificando las tablas de encaminamiento y las de caché de ARP.",
2022/10/25 12:39:04 p. m. EET,BIO,10,7.69,4.86,2,2,3,3,2,2,3,Diapositivas,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Fallo,D,Acierto,A,,C,Acierto,C,Fallo,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"R1 envía ahora una solicitud ARP con destino 101.0.0.0/24 para conocer la dirección ethernet del r3 y así poder envíar este paquete. En cuanto al mensaje echo reply este no tiene que mandar solicitud de ARP, ya que tiene las direcciones ethernet en el caché.",,"Sí, ya que se todo mucho más claro."
2022/10/25 12:41:40 p. m. EET,BIO,7,5.38,6.29,4,3,3,3,4,3,2,Diapositivas,C,Acierto,B,Acierto,D,Acierto,A,Acierto,C,Fallo,B,Fallo,C,Fallo,A,,B,Fallo,B,Fallo,,Fallo,B,Acierto,D,Acierto,B,Acierto,"En primer lugar a pc1 quiere enviar un mensaje a la direccion IP de pc4, como no conoce su direccion Ethernet, lo que hace es enviar una solicutud ARP a r1. Por lo tanto, a r1 le llega una solicitud ARP preguntando por la direccion Ethernet origen, en este caso la direccion Ethernet destino era broadcast. R1 añade su direccion ethener origen y le manda la respuesta ARP",,Al visualizarlo con 3D me hubiese ayudado más a entender el proceso
2022/10/25 12:41:42 p. m. EET,BIO,6,4.62,6.00,3,1,3,3,5,3,3,GafasVR,C,Acierto,B,Acierto,,Fallo,B,Fallo,C,Fallo,D,Fallo,C,Fallo,A,,C,Acierto,C,Fallo,B,Acierto,,Fallo,D,Acierto,B,Acierto,r1envía de vuelta a pc1 que él tiene la dirección destino. Le llega la trama de pc1 y pregunta quién tiene la dirección hace pc4. r3 le responde y r1 le envíam la trama. (r3 se la enviará a pc4). Cuando pc4 recibe la trama y le responde le llega a r1 por el camino inverso.,Se ve de forma más visual (tal vez un poco rápido) y práctica. Aún así hay pasos que en este ejercicio me han resultado confusos.,
2022/10/25 12:43:01 p. m. EET,BIO,7,5.38,7.14,3,3,3,4,4,4,4,Diapositivas,C,Acierto,B,Acierto,C,Fallo,B,Fallo,C,Fallo,B,Fallo,D,Acierto,D,,C,Acierto,D,Acierto,B,Acierto,A,Fallo,D,Acierto,A,Fallo,,,
2022/10/25 12:43:32 p. m. EET,BIO,8,6.15,7.71,3,3,5,4,4,4,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,D,Fallo,B,Fallo,C,Acierto,D,Acierto,A,,A,Fallo,C,Fallo,D,Fallo,B,Acierto,D,Acierto,B,Acierto,R1 mira en su  tabla si la dirección ip de pc4 pero como no la tiene coge el gateway 101.0.0.3 este le envia a r3 donde volvemos a mirar en la tabla de r2 si tiene la dirección ip de pc4 como no la tiene coge la dirección destino 102.0.0.0 con gateway 0.0.0.0 lo que significa que es el siguiente salto. Una vez en pc4 se aprende la dirección ethernet de pc1 y la direccion ip de pc1 por lo que mira en su tabla de direcciones y busca la direccion ip de pc1 como no esta coge la direccion destino 100.0.0.0 con gateway 102.0.0.2 llega a r2 y mira si tiene en su tabla de direcciones la direccion de pc1 como no la tiene coge la direccion gateway 101.0.0.1 la cual ya lleva a r1,"Si ayuda a entender mejor el suceso pero ayudaria más si se pudiera meter un audio explicando el proceso y así tu puedes ir viendo que sucede, qeu direcciones tiene cada ordenador mientras te van explicando que sucede en ele proceso de ping",
2022/10/25 12:43:40 p. m. EET,BIO,11,8.46,8.57,4,4,5,4,5,4,4,GafasVR,C,Acierto,B,Acierto,D,Acierto,B,Fallo,D,Acierto,B,Fallo,D,Acierto,A,,C,Acierto,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"r1 recibe un ARP request de pc1 para saber su dirección Ethernet, envía un ARP reply a pc1. De esta manera tanto pc1, como r1 almacenan la dirección Ethernet en el caché ARP. 

Le llega el mensaje ICMP con dirección IP de pc4, busca en la tabla de encaminamiento por donde enviarlo, que es por r3, envía mensaje ARP request a r3 para conocer su dirección Ethernet. Le llega el ARP reply de r3, y almacena en el caché ARP la dirección Ethernet de r3.
Envía el mensaje ICMP a r3. 

Más tarde, le llega un mensaje ARP request de r2, hace un ARP reply y almacena la dirección Ethernet de r2. 
Después le llega el mensaje ICMP con dirección IP de pc1, como ya conoce su dirección Ethernet se lo envía directamente. ","Sí, ayuda a tener más claros los pasos. 
Poder parar la animación en cualquier momento y ver que ha ocurrido en cualquier interfaz es un método bastante visual y claro. 
De todas maneras, la explicación previa me sigue pareciendo muy importante e incluso esencial. No pienso que las gafas sustituyan la explicación del profesor. ",
2022/10/25 12:43:48 p. m. EET,BIO,11,8.46,9.43,5,5,5,5,5,5,3,Animacion3D,C,Acierto,B,Acierto,D,Acierto,A,Acierto,D,Acierto,B,Fallo,D,Acierto,D,,B,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,"A r1 le llega la trama Ethernet que contiene el datagrama IP dirigido a pc4. R1 comprueba si la dirección IP del datagrama coincide con alguna de las direcciones IP de su interfaz. Como comprueba que no coinciden sabe que el datagrama IP no es para él. Como r1 está configurado como encaminador, este disminuye el ttl del datagrama IP en 1 y posteriormente consulta su tabla de encaminamiento. Revisa sus entradas, la IP no coincide con ninguna, revisa las entradas de máscara de red, coincide una entrada por lo que debe enviar el datagrama IP a la máquina con IP 101.0.0.3, para comprobar la dirección ethernet de la máquina con esa IP, mira su tabla de caché ARP para ver si tiene alguna dirección ethernet guardada. Pero no tiene ninguna, por tanto genera una solicitud ARP que le llega a pc3, r2 y r3. El único que la rellena es r3 que la rellena con su dirección ethernet y se guarda la dirección ethernet de r1 en su tabla de caché ARP. Cuando le llega la respuesta ARP a r1, este almacena la dirección ethernet de r3 junto a su dirección IP en su tabla de caché ARP. Ahora que conoce su dirección ethernet, le puede enviar el datagrama IP encapsulado en la trama ethernet. ","Me ha ayudado más que las diapositivas en clase porque verlo animado es más fácil y capta más tu atención que verlo en las diapositivas a pesar de que en las diapositivas está muy bien detallado. 

Lo que más me ha ayudado es el dinamismo de la animación pero me ha distraído el entorno y como aparecían los datos como la tabla de encaminamiento o la tabla de ARP caché. Además, parar la animación ha costado dado que el botón de reproducir no cambia si lo clickeas y es dficil determinar si la animación se ha parado o no correctamente. 

También me ha ocurrido que queriendo pararlo, le he dado a restart sin querer.  ",
2022/10/25 12:43:55 p. m. EET,BIO,7,5.38,6.00,3,2,4,4,2,4,2,GafasVR,B,Fallo,C,Fallo,B,Fallo,C,Fallo,D,Acierto,C,Acierto,B,Fallo,B,,D,Fallo,D,Acierto,B,Acierto,B,Acierto,D,Acierto,B,Acierto,r1 recibe el ICMP Echo Request y se guarda las direcciones de pc1 en r1 routing table y manda una solicitud de ARP. Lo envia por su interfaz eth1. Le vuelve el ICMP Echo Replay y se guarda las direcciones de pc4 en su routing table. A continuación se recibe la respuesta a la solicitud de ARP.,"Sí, la animación en 3D ayuda a responder mejor a las preguntas ya que al verlo en movimiento y no en diapositivas paradas entiendes mejor como funciona. Lo único que le faltaría a la animación es algo de voz explicando lo que pasa porque si ves la animación con la teoría entendida no hay mucho problema pero si no no se entendería muy bien.",
