Marca temporal,GRADO,ACIERTOS,NOTA,VALORA1,VALORA2,VALORA3,VALORA4,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,R_P5,P6,R_P6,P7,APRENDIZAJE1,APRENDIZAJE2
2022/12/20 11:36:16 a. m. CET,BIO,1,"1.67",3,3,3,3,Animacion3D,C,Fallo,A,Fallo,A,Fallo,A,Fallo,A,Acierto,A,Fallo,,,
2022/12/20 11:38:35 a. m. CET,BIO,3,"5.00",2,2,2,2,GafasVR,D,Acierto,A,Fallo,B,Acierto,C,Fallo,A,Acierto,B,Fallo,,"No me ha ayudado a contestar mejor las preguntas. Creo que no es un problema de la animación, si no que yo no habia mirado bien el temario.",
2022/12/20 11:39:19 a. m. CET,BIO,3,"5.00",,3,2,1,GafasVR,D,Acierto,C,Acierto,B,Acierto,A,Fallo,C,Fallo,A,Fallo,,Creo que esta parte se entiende mejor con un video con audio o directamente que la explique el profesor,
2022/12/20 11:43:11 a. m. CET,BIO,4,"6.67",2,2,2,2,Animacion3D,D,Acierto,C,Acierto,A,Fallo,A,Fallo,A,Acierto,D,Acierto,,,
2022/12/20 11:44:14 a. m. CET,BIO,3,"5.00",1,1,1,1,Animacion3D,C,Fallo,D,Fallo,A,Fallo,B,Acierto,A,Acierto,D,Acierto,,A mi parecer me he liado un poco más porque la animación iba demasiado rapido y no era muy visual.,
2022/12/20 11:45:01 a. m. CET,BIO,0,"0.00",1,1,1,1,GafasVR,C,Fallo,D,Fallo,C,Fallo,C,Fallo,C,Fallo,C,Fallo,,"Sí, debido a poder parar y observar cada secuencia con detalle.",
2022/12/20 11:46:15 a. m. CET,BIO,4,"6.67",1,1,1,1,Animacion3D,D,Acierto,C,Acierto,B,Acierto,C,Fallo,A,Acierto,B,Fallo,creo que en los dos primeros pasos y es en google.com y urjc.es,creo que si porque me ayuda verlo de una manera visual para entenderlo mejor,
2022/12/20 11:47:06 a. m. CET,BIO,4,"6.67",2,3,3,3,GafasVR,D,Acierto,A,Fallo,B,Acierto,C,Fallo,A,Acierto,D,Acierto,"En todos  los pasos se generan mensajes DNS. 
Son páginas distintas que se situan en direcciones IP distintas, que se tienen que consultar con los servidores DNS","Me ha ayudado a recordar los conceptos de DNS ya explicados en clase. 
Me resulta confuso que en la animación cada componente de la red no este conectado por líneas y me cuesta ver que esta conectado a qué.",
2022/12/20 11:50:13 a. m. CET,BIO,6,"10.00",3,3,3,3,Diapositivas,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En el paso 1 se realizan consultas DNS para enconytar la IP de google.com. Para ello se hace una consulta a DNS root, que da la IP del DNS com. Se pregunta al DNS com. que da la IP del servidor google.com. el cual ya dará la IP de google.com apareciendo en el navegador.

En el paso 2, se repite el proceso pero con la url urjc.es. Se hace una consulta recursiva al servidor ""local"" que en principio no sabe la respuesta sin suponemos que la caché está vacía. Hacemos ahora preguntas no recursivas. Primero preguntamos a DNS root, que da la IP del servidor .es. Preguntamos a DNS es. ahora que nos da la IP del DNS .urjc.es. Por último este DNS nos da laI Pde www.urjc.es que aparecerá en pantalla.",,"Podría haber ayudado a entender mejor el funcionamiento de las consultas no recursivas. Entender que cada vez que se pregunta a un DNS nuevo, la respuesta con la IP del nuevo servidor llega al servidor del cliente, y este debe preguntar de nuevo."
2022/12/20 11:50:56 a. m. CET,BIO,4,"6.67",3,3,3,3,Animacion3D,D,Acierto,A,Fallo,A,Fallo,B,Acierto,A,Acierto,D,Acierto,,Si,
2022/12/20 11:53:18 a. m. CET,BIO,6,"10.00",4,4,4,4,Diapositivas,D,Acierto,C,Acierto,B,Acierto,B,Acierto,A,Acierto,D,Acierto,"En el primer paso se quiere obtener la dirección IP de www.google.com. (Mismo ejemplo que las diapositivas). Primero pregunta a su servidor que le preguntará al dominio raíz. A continuación se pregunta a los dominios com y google.com. Este último sabe la dirección por la que se pregunta y se la envía al servidor. Por último el servidor se la devuelve a la máquina.
En el tercer paso ocurre exactamente lo mismo pero con la página nueva. (El servidor DNS le pregunta al dominio raíz, el dominio raíz pregunta a es que le responde con la dirección urjc.es que finalmente sabe la dirección deseada y se la envía al servidor).",,"Con las dipositivas se puede entender bien, ya que, se puede avanzar y retroceder cuando se necesite."
2022/12/20 11:53:20 a. m. CET,BIO,0,"0.00",4,3,2,2,Animacion3D,C,Fallo,,Fallo,,Fallo,A,Fallo,,Fallo,,Fallo,,,
2022/12/20 11:56:01 a. m. CET,BIO,1,"1.67",1,1,1,1,GafasVR,C,Fallo,B,Fallo,B,Acierto,C,Fallo,C,Fallo,B,Fallo,En el 2 paso se realizara para buscar la url de URJC. ,,"Con las gafas es todo mas visual y mas intuitivo que con unas diapositivas, por tanto yo creo que si"
2022/12/20 11:56:13 a. m. CET,BIO,5,"8.33",4,4,3,4,Diapositivas,D,Acierto,C,Acierto,A,Fallo,B,Acierto,A,Acierto,D,Acierto,"Cuando el usuario escribe en la URL de su navegador: www.google.com, este genera una petición DNS a su servidor DNS en este caso movistar. Este iniciará la búsqueda recursiva de la dirección introducida preguntando, primero al dominio raíz, después al servidor dns com. y finalmente al servidor dns google.com.

Este es el único momento donde se realizan consultas al DNS. ",,"La animación 3D me hubiera ayudado a estar más inmersa en la animación, al ser más interactiva que ver las diapositivas. Pero creo que hubiera respondido igual a las preguntas. "
2022/12/20 11:56:42 a. m. CET,BIO,1,"1.67",1,1,1,1,Diapositivas,D,Acierto,B,Fallo,A,Fallo,A,Fallo,,Fallo,,Fallo,,,Sí. La animación 3D me ayudaría a ver de manera más gráfica los contenidos del tema y a entenderlos mejor por ser más visual.
2022/12/20 11:56:47 a. m. CET,BIO,1,"1.67",1,1,1,1,Diapositivas,C,Fallo,A,Fallo,A,Fallo,A,Fallo,C,Fallo,D,Acierto,,,"Yo creo que sí. Este tipo de animaciones te ayudan a visualizar mejor cada paso en los procesos de DNS, teniendo en cuenta todos los mensajes de solicitud y respuesta."
2022/12/20 11:56:50 a. m. CET,BIO,3,"5.00",3,3,3,3,Animacion3D,D,Acierto,C,Acierto,A,Fallo,A,Fallo,C,Fallo,D,Acierto,"Los tres son casos de consultas DNS. En el primer caso, se pregunta por la dirección IP asociada a ese dominio, y en ell segundo y el tercero se sigue el path asociado a los dominios para llegar hasta la url deseada. El primer mensaje es de solicitus, la maquina origen es mi maquina, y la maquina destino es la asociada a la url.","No excesivamente, me gusta más el estudio a partir de las diapositivas, aunque es muy buen complemento para la visualización gráfica.",
