Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,APRENDIZAJE1,APRENDIZAJE2
3/15/2023 11:22:51,"ITT,IST,IT",1,2.50,8.00,4,3,5,GafasVR,B,Fallo,B,Fallo,C,Fallo,C,Acierto,para saber los problemas que hay en una ruta en la red ,Esta bien por que asi es mucho mas visual ,Al hacerlo de manera visual te ayuda a ver mejor como funcionan las redes 
3/15/2023 11:28:06,"ITT,IST,IT",0,0.00,6.67,3,3,4,Diapositivas,B,Fallo,B,Fallo,C,Fallo,D,Fallo,,,Si
3/15/2023 11:28:25,"ITT,IST,IT",0,0.00,6.67,3,3,4,Diapositivas,E,Fallo,B,Fallo,B,Fallo,D,Fallo,,,
3/15/2023 11:28:59,"ITT,IST,IT",1,2.50,8.00,4,4,4,Animacion3D,B,Fallo,B,Fallo,A,Fallo,C,Acierto,Sirve para conocer el numero de saltos y sitios por donde pasa la trama antes de llegar al destino,"Si, porque tenía la posibilidad de moverme por el espacio y ver las tramas y la composicion de las cabeceras",
3/15/2023 11:35:47,"ITT,IST,IT",0,0.00,7.33,3,3,5,Animacion3D,A,Fallo,B,Fallo,C,Fallo,D,Fallo,Aporta la información de la ruta que sigue un paquete para llegar a otra máquina dentro de la subred.,"El otro día también me tocó en el navegador, y ayuda mucho el ver visualmente la animación para aclarar la teoría.",
3/15/2023 11:35:58,"ITT,IST,IT",1,2.50,8.67,5,5,3,Diapositivas,B,Fallo,B,Fallo,C,Fallo,C,Acierto,"Traceroute sirve para conocer el encaminamiento por el que pasa un datagrama desde que sale de su origen hasta llegar asu destino. Para ello va enviando datagramas IP con TTL = 1, 2, 3...(de tres en tres, como norma general), de forma que cuando llega a un router y su TTL llega a 0, el router le envía un datagrama ICMP para indicar TTL excedida con su dirección IP por la que manda el datagrama (lo que nos ayuda a conocer que router es). Además, en caso de no poder responder al datagrama IP original (por no haber un ruta de encaminamiento destinada para ello) aparecerá *** en lugar de la dirección IP de nuestro router.",,"En este caso creo que si, ya que ver el movimiento de los paquetes y como se va aumentando el TTL...(etc) me hubiese resultado más gráfico y un poco menos confuso."
3/15/2023 11:36:11,"ITT,IST,IT",0,0.00,7.33,4,4,3,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,Nos indica porque maquinas ha tenido que pasar con la finalidad de llegar a la dirección destino que le marcamos en el traceroute.,"Si, porque se ve mejor por donde viajan los mensajes ",
3/15/2023 11:36:27,"ITT,IST,IT",0,0.00,5.33,2,2,4,Diapositivas,B,Fallo,B,Fallo,C,Fallo,D,Fallo,Traceroute busca la ruta para llegar a la maquina que le indicamos mediante el envío de datagramas mediante las tablas de encaminamiento de las maquinas a las que consulta,no he visto la animación,Aunque las diapositivas son suficientemente claras creo que si habría ayudado ver la animación para entender el funcionamiento.
3/15/2023 11:38:56,"ITT,IST,IT",0,0.00,5.33,2,2,4,Animacion3D,D,Fallo,B,Fallo,C,Fallo,D,Fallo,El traceroute hace una aproximación de la ruta que siguen los datagramas desde el origen hasta su destino.,"Sigo opinando igual que en la última clase, me ayuda más hacer las prácticas que se nos mandan con netgui. Además de que visto desde el ordenador la animación, no se puede ver bien por donde van los datagramas que están detrás de los routers de delante.",
3/15/2023 11:39:19,"ITT,IST,IT",1,2.50,4.00,1,2,3,Diapositivas,D,Fallo,B,Fallo,A,Fallo,C,Acierto,,,
