Marca temporal,GRADO,ACIERTOS,NOTA,VALORA_MEDIA,VALORA1,VALORA2,VALORA3,DEMO,P1,R_P1,P2,R_P2,P3,R_P3,P4,R_P4,P5,APRENDIZAJE1,APRENDIZAJE2
11/8/2022 11:36:23,BIO,0,0.00,6.00,3,3,3,GafasVR,D,Fallo,B,Fallo,A,Fallo,D,Fallo,"Nos permite saber la ruta y la distancia a la que está la máquina a la que enviamos dicho comando, es decir, por cuantas máquinas pasa el mensaje hasta que llega a su destino y por qué máquinas pasa, en definitiva nos dice la ruta que sigue el mensaje para ir de una máquina a otra y el TTL mínimo necesario para que ese mensaje llegue a su destino.","si, me ha 'permitido ver el funcionamiento del traceroute de una manera más visual y gráfica.",
11/8/2022 11:38:02,BIO,0,0.00,2.00,1,1,1,GafasVR,A,Fallo,B,Fallo,A,Fallo,D,Fallo,Con traceroute podemos ver los routers por los que pasa un mensaje y por tanto las redes que este tiene que atravesar cuando es mandado.,No,
11/8/2022 11:39:31,BIO,0,0.00,5.33,2,2,4,GafasVR,D,Fallo,B,Fallo,C,Fallo,D,Fallo,El traceroute nos muestra la ruta descrita al enviar un mensaje y su respuesta. Como información nos aporta si las rutas están configuradas correctamente.,"Sí, ya que no tenía el traceroute muy claro y ver como funciona en movimiento me ha ayudado a entenderlo mucho mejor. No ha habido ningún aspecto que me haya resultado confuso de la animación.",
11/8/2022 11:39:36,BIO,0,0.00,7.33,4,3,4,GafasVR,B,Fallo,B,Fallo,C,Fallo,D,Fallo,Con traceroute podemos ver las diferentes máquinas intermedias que atraviesa el mensaje.,Sí me ha ayudado. Lo único confuso es ver las direcciones de las máquinas.,
11/8/2022 11:39:51,BIO,2,5.00,7.33,4,3,4,Animacion3D,D,Fallo,A,Acierto,D,Acierto,D,Fallo,"Permite conocer las direcciones IP, de las interfaces por las que envían el mensaje de respuesta o error en último caso,  de las máquinas que encaminan un datagrama hasta el destino que seleccionamos con la dirección IP que escribimos en el comando.",,"No, debido a que la información es la misma. Además, en caso de haber necesitado tomar notas, hubiera supuesto una incomodidad el llevar las gafas VR puestas."
11/8/2022 11:41:32,BIO,1,2.50,7.33,3,4,4,GafasVR,C,Acierto,B,Fallo,A,Fallo,D,Fallo,"traceroute es un comando que define la ruta desde una determinada máquina origen hasta su destinataria, marcando por todos los routers por los que pasa. ","No me ha resultado confuso ningún aspecto de la animación. 
Ver la animación ayuda a asentar los conceptos y confirma que se ha entendido bien, en este caso el comando. ",
11/8/2022 11:42:34,BIO,0,0.00,6.67,3,3,4,Animacion3D,A,Fallo,B,Fallo,A,Fallo,D,Fallo,"El comando traceroute indica las direciones IP de cada máquina que toma un mensaje enviado de un pc a otro, especificando las rutas que toma este para la vuelta, no para la ida.","Sí considero que me ha ayudado, ya que es una forma más dinámica de ver el funcionamiento del envío de mensajes a través del comando traceroute.",
11/8/2022 11:42:47,BIO,0,0.00,5.33,3,2,3,Diapositivas,B,Fallo,B,Fallo,C,Fallo,B,Fallo,"Traceroute se utiliza para saber la ruta que sigue un mensaje en una red de máquimas, devolviendo el comando las direcciones de cada una de las máquinas por las que pasa el mensaje hasta llegar a un destino.",,"No creo que  hubiese creado mucha diferencia en mis resultados el hecho de usar las gafas. Sin embargo, me parece un recurso muy guay para el aula, pero si que es cierto que a la hora de hacer un examen me reulta más comodo no utilizarlas."
11/8/2022 11:44:16,BIO,1,2.50,6.00,3,2,4,Diapositivas,B,Fallo,A,Acierto,A,Fallo,D,Fallo,"Traceroute se utiliza para conocer la ruta que sigue un determinado datagrama IP, es decir, por qué encaminadores pasa desde el origen hasta llegar a su destino (aportando la IP correspondiente a cada uno de estos encaminadores)",,"Creo que la animación 3D podría ser útil en este caso para ayudar a ver por qué caminos vuelve cada datagrama en función del TTL utilizado, para ayudar a entender que cada uno de los encaminadores puede tener su propia ruta de regreso o incluso no tener."
11/8/2022 11:45:13,BIO,1,2.50,7.33,4,4,3,Animacion3D,B,Fallo,B,Fallo,D,Acierto,D,Fallo,"Gracias a traceroute podemos conocer los saltos intermedios de un mensaje en su camino hacia su destino. Una de sus utilidades es conocer si la información puede ser enviada y recibida por estos saltos intermedios, permitiéndonos conocer si existe algún problema en el paso de la información y donde ocurre este problema. Además, nos permite conocer la distancia desde el punto de envío hasta el punto de recepción, y asegurarnos de que las rutas de encaminamiento están configuradas correctamente para enviar la información hacia donde queremos.","Sí. Considero que es bastante más fácil el seguimiento de una animación que de una imagen estática. En ocasiones las diapositivas se pueden llegar a hacer liosas o puede ser difícil darse cuenta de todas las diferencias de una a otra, además de que para consultar información relevante (tablas de encaminamiento, direcciones IP, mensajes ICMP...) es necesario retroceder hasta una diapositiva anterior. Con las animaciones, sin embargo, al ser todo más dinámico es más sencillo no solo entender, sino también memorizar los procesos. La información es mucho más accesible ya que solo se necesita un click sobre el paquete o la información que nos interese, y en general también se hace menos pesado, lo que ayuda a mantener la concentración.",
11/8/2022 11:45:30,BIO,0,0.00,6.67,4,2,4,GafasVR,D,Fallo,C,Fallo,A,Fallo,D,Fallo,"El comando traceroute sirve para saber de forma secuencial la ruta que toma un paquete cuando se desea enviar entre subredes diferentes, hace uso de datagramas ip con ttl creciente para conocer la dirección ip por la que pasa el datagrama en cada máquina intermedia hasta llegar a su destino.",La animación permite visualizar de una forma secuencial cada paso que toma un datagrama para llegar a su destino de forma amena. En la inmersión en realidad virtual resulta más sencillo de comprender porque no requiere la abstracción necesaria en la visualización por diapositivas,
11/8/2022 11:46:24,BIO,2,5.00,6.00,2,3,4,GafasVR,C,Acierto,A,Acierto,A,Fallo,A,Fallo,,Me ha liado un poco ya que no entiendo qeu direccion se apunta,
11/8/2022 11:49:01,BIO,3,7.50,7.33,4,3,4,GafasVR,C,Acierto,A,Acierto,C,Fallo,C,Acierto,"Traceroute nos sirve para hallar la ruta que siguen los datagramas IP desde la máquina de origen hasta la máquina de destino. 
La información de dicho comando nos sirve para saber cuales son las máquinas intermedias entre máquina y máquina y si hay algún error en el camino que no permita a la máquina destino responder. ","Sí dado que la animación 3D es más inmersiva, pero sin teoría previa es difícil de entender lo que ocurre. El hecho de no poder distraerme y solo poder ver la animación me ha ayudado bastante a concentrarme. ",
